"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.456538242E1,-7.325099409E-2,-9.167547226E-1,1.026773453E-1
3.459010166E1,-1.461097896E-1,1.972923279E-1,2.068078518E-1
3.461482090E1,-9.819434583E-2,1.345084190E0,9.298707545E-2
3.463954014E1,-9.678635001E-2,2.370593071E0,5.117008090E-2
3.466425938E1,-5.135655403E-3,3.017733574E0,-1.983672529E-1
3.468897861E1,5.285179615E-2,3.232173920E0,-2.721721530E-1
3.471369785E1,1.234363616E-1,3.034970284E0,-2.148405910E-1
3.473844761E1,1.167504787E-1,2.404078484E0,-1.905678958E-1
3.476316685E1,3.703477979E-2,1.371080399E0,2.324607968E-2
3.478791660E1,6.077948213E-2,2.625541687E-1,5.057707801E-2
3.481266636E1,-4.167377949E-3,-9.387416840E-1,1.112755686E-1
3.483735508E1,1.105297357E-2,-1.924482346E0,3.780939803E-2
3.486207432E1,-4.470996559E-2,-2.715373039E0,4.793805629E-2
3.488679356E1,-7.668598555E-3,-3.040843010E0,-4.210534692E-2
3.491151279E1,-1.038959771E-1,-3.018032074E0,-8.661350608E-2
3.493623203E1,-1.366754472E-1,-2.539671898E0,-1.086322814E-1
3.496095127E1,-1.597415209E-1,-1.803217888E0,-1.404212117E-1
3.498567051E1,-1.653800011E-1,-7.400884628E-1,-1.723887473E-1
3.501042026E1,-1.127405316E-1,4.333477020E-1,-1.471836418E-1
3.503513950E1,6.979680061E-2,1.500658035E0,-1.056435928E-1
3.505988926E1,2.439550012E-1,2.448387146E0,-1.183573827E-1
3.508460850E1,4.652153254E-1,3.073165894E0,-5.491767824E-2
3.510932773E1,5.150731802E-1,3.164999962E0,-3.179793060E-2
3.513404697E1,4.413536191E-1,2.824809074E0,-2.564586699E-2
3.515876621E1,2.596352994E-1,2.095199585E0,-5.063932389E-2
3.518348545E1,4.571677744E-2,1.095152855E0,-7.901187986E-2
3.520820469E1,-8.084770292E-2,-6.742286682E-2,-3.997962177E-2
3.523295444E1,-1.316841245E-1,-1.172322273E0,-6.891995668E-2
3.525767368E1,-1.168421283E-1,-2.111849785E0,-7.158336788E-2
3.528239292E1,-8.946490288E-2,-2.765430450E0,-3.163894266E-2
3.530711216E1,-6.100722402E-2,-3.002391815E0,3.716454655E-2
3.533189243E1,-5.000793934E-2,-2.872831345E0,7.396233082E-2
3.535661167E1,-3.652592748E-2,-2.369421005E0,1.370956600E-1
3.538133091E1,-3.735212237E-2,-1.485670090E0,2.279830128E-1
3.540605015E1,-5.869418383E-4,-4.158821106E-1,2.655693293E-1
3.543076939E1,9.539008141E-2,7.327222824E-1,1.279344857E-1
3.545548862E1,1.353422105E-1,1.731302261E0,3.878930211E-2
3.548020786E1,1.679677665E-1,2.547883987E0,-1.226913631E-1
3.550492710E1,1.503657699E-1,2.998913765E0,-1.680889428E-1
3.552964634E1,6.884616613E-2,3.000586510E0,-1.370626390E-1
3.555436558E1,-2.078765631E-2,2.558650017E0,1.216614246E-2
3.557908481E1,-9.715844691E-2,1.811821938E0,1.676948220E-1
3.560383457E1,-1.559879035E-1,8.091411591E-1,1.867518425E-1
3.562858433E1,-1.258732229E-1,-2.617263794E-1,2.138702273E-1
3.565330356E1,-1.412795186E-1,-1.318177223E0,1.016778350E-1
3.567802280E1,-8.162593842E-2,-2.178221703E0,6.984472275E-2
3.570274204E1,-7.329727709E-2,-2.709561348E0,-6.174483895E-2
3.572746128E1,-2.026832104E-2,-2.890676498E0,-3.856050223E-2
3.575218052E1,-9.509399533E-2,-2.690358162E0,-3.845223784E-2
