Time,,delta time,accel (Filtered)
9/28/2018 15:36:54.398598,3620993893.9781,0.079496903344989,0.014848
9/28/2018 15:36:54.399099,3620993894.4791,0.079997931607068,0.01436
9/28/2018 15:36:54.399600,3620993894.9801,0.080498959869146,0.013859
9/28/2018 15:36:54.400101,3620993895.4811,0.080999988131225,0.013362
9/28/2018 15:36:54.400602,3620993895.9821,0.081501016393304,0.012885
9/28/2018 15:36:54.401095,3620993896.4831,0.08199387229979,0.012448
9/28/2018 15:36:54.401596,3620993896.9841,0.082494900561869,0.012071
9/28/2018 15:36:54.402097,3620993897.4851,0.082995928823948,0.011767
9/28/2018 15:36:54.402598,3620993897.9861,0.083496957086027,0.011545
9/28/2018 15:36:54.403099,3620993898.4871,0.083997985348106,0.011411
9/28/2018 15:36:54.403600,3620993898.9881,0.084499013610184,0.011371
9/28/2018 15:36:54.404101,3620993899.4891,0.085000041872263,0.011429
9/28/2018 15:36:54.404603,3620993899.9901,0.08550169877708,0.011587
9/28/2018 15:36:54.405095,3620993900.4911,0.085993926040828,0.011843
9/28/2018 15:36:54.405596,3620993900.9921,0.086494954302907,0.012186
9/28/2018 15:36:54.406097,3620993901.4931,0.086995982564986,0.012601
9/28/2018 15:36:54.406598,3620993901.9941,0.087497010827065,0.013071
9/28/2018 15:36:54.407100,3620993902.4951,0.087998667731881,0.013578
9/28/2018 15:36:54.407601,3620993902.9961,0.08849969599396,0.014105
9/28/2018 15:36:54.408102,3620993903.4971,0.089000724256039,0.014637
9/28/2018 15:36:54.408594,3620993903.9981,0.089492951519787,0.015153
9/28/2018 15:36:54.409095,3620993904.4991,0.089993979781866,0.015639
9/28/2018 15:36:54.409597,3620993905.0001,0.090495636686683,0.016076
9/28/2018 15:36:54.410098,3620993905.5011,0.090996664948762,0.016451
9/28/2018 15:36:54.410599,3620993906.0021,0.09149769321084,0.01675
9/28/2018 15:36:54.411100,3620993906.5031,0.091998721472919,0.016961
9/28/2018 15:36:54.411601,3620993907.0041,0.092499749734998,0.017074
9/28/2018 15:36:54.412102,3620993907.5051,0.093000777997077,0.017086
9/28/2018 15:36:54.412595,3620993908.0061,0.093493633903563,0.016997
9/28/2018 15:36:54.413096,3620993908.5071,0.093994662165642,0.01681
9/28/2018 15:36:54.413597,3620993909.0081,0.094495690427721,0.016534
9/28/2018 15:36:54.414098,3620993909.5091,0.094996718689799,0.016177
9/28/2018 15:36:54.414599,3620993910.0101,0.095497746951878,0.015756
9/28/2018 15:36:54.415100,3620993910.5111,0.095998775213957,0.015285
9/28/2018 15:36:54.415602,3620993911.0121,0.096500432118774,0.014779
9/28/2018 15:36:54.416103,3620993911.5131,0.097001460380852,0.014253
9/28/2018 15:36:54.416595,3620993912.0141,0.097493687644601,0.01372
9/28/2018 15:36:54.417096,3620993912.5151,0.09799471590668,0.013193
9/28/2018 15:36:54.417597,3620993913.0161,0.098495744168758,0.012695
9/28/2018 15:36:54.418099,3620993913.5171,0.098997401073575,0.012244
9/28/2018 15:36:54.418600,3620993914.0181,0.099498429335654,0.011857
9/28/2018 15:36:54.419101,3620993914.5191,0.099999457597733,0.011547
9/28/2018 15:36:54.419602,3620993915.0201,0.100500485859811,0.011326
9/28/2018 15:36:54.420103,3620993915.5211,0.10100151412189,0.011202
9/28/2018 15:36:54.420595,3620993916.0221,0.101494370028377,0.011181
9/28/2018 15:36:54.421097,3620993916.5231,0.101995398290455,0.01126
9/28/2018 15:36:54.421598,3620993917.0241,0.102496426552534,0.011431
9/28/2018 15:36:54.422099,3620993917.5251,0.102997454814613,0.011691
9/28/2018 15:36:54.422600,3620993918.0261,0.103498483076692,0.012031
9/28/2018 15:36:54.423101,3620993918.5271,0.10399951133877,0.012441
9/28/2018 15:36:54.423602,3620993919.0281,0.104500539600849,0.012907
9/28/2018 15:36:54.424095,3620993919.5291,0.104993395507336,0.013409
9/28/2018 15:36:54.424596,3620993920.0301,0.105494423769414,0.013928
9/28/2018 15:36:54.425097,3620993920.5311,0.105995452031493,0.014446
9/28/2018 15:36:54.425598,3620993921.0321,0.106496480293572,0.014946
9/28/2018 15:36:54.426099,3620993921.5331,0.106997508555651,0.015408
9/28/2018 15:36:54.426600,3620993922.0341,0.107499165460467,0.01581
9/28/2018 15:36:54.427101,3620993922.5351,0.108000193722546,0.016138
9/28/2018 15:36:54.427602,3620993923.0361,0.108501221984625,0.016381
9/28/2018 15:36:54.428095,3620993923.5371,0.108993449248374,0.016533
9/28/2018 15:36:54.428596,3620993924.0381,0.109494477510452,0.016588
9/28/2018 15:36:54.429097,3620993924.5391,0.109996134415269,0.016541
9/28/2018 15:36:54.429598,3620993925.0401,0.110497162677348,0.016392
9/28/2018 15:36:54.430099,3620993925.5411,0.110998190939426,0.016148
9/28/2018 15:36:54.430600,3620993926.0421,0.111499219201505,0.015819
9/28/2018 15:36:54.431101,3620993926.5431,0.112000247463584,0.015422
9/28/2018 15:36:54.431602,3620993927.0441,0.112501275725663,0.014974
9/28/2018 15:36:54.432095,3620993927.5451,0.112994131632149,0.014491
9/28/2018 15:36:54.432596,3620993928.0461,0.113495159894228,0.013991
9/28/2018 15:36:54.433097,3620993928.5471,0.113996188156307,0.013493
9/28/2018 15:36:54.433598,3620993929.0481,0.114497216418386,0.013016
9/28/2018 15:36:54.434099,3620993929.5491,0.114998244680464,0.012573
9/28/2018 15:36:54.434600,3620993930.0501,0.115499272942543,0.012177
9/28/2018 15:36:54.435102,3620993930.5511,0.11600092984736,0.01184
9/28/2018 15:36:54.435603,3620993931.0521,0.116501958109438,0.011576
9/28/2018 15:36:54.436095,3620993931.5531,0.116994185373187,0.011393
9/28/2018 15:36:54.436596,3620993932.0541,0.117495213635266,0.011296
9/28/2018 15:36:54.437097,3620993932.5551,0.117996241897345,0.011289
9/28/2018 15:36:54.437599,3620993933.0561,0.118497898802161,0.011372
9/28/2018 15:36:54.438100,3620993933.5571,0.11899892706424,0.011544
9/28/2018 15:36:54.438601,3620993934.0581,0.119499955326319,0.011801
9/28/2018 15:36:54.439102,3620993934.5591,0.120000983588398,0.012137
9/28/2018 15:36:54.439594,3620993935.0601,0.120493210852146,0.012539
9/28/2018 15:36:54.440096,3620993935.5611,0.120994867756963,0.012994
9/28/2018 15:36:54.440597,3620993936.0621,0.121495896019042,0.013483
9/28/2018 15:36:54.441098,3620993936.5631,0.12199692428112,0.013991
9/28/2018 15:36:54.441599,3620993937.0641,0.122497952543199,0.014503
9/28/2018 15:36:54.442100,3620993937.5651,0.122998980805278,0.015
9/28/2018 15:36:54.442601,3620993938.0661,0.123500009067357,0.015465
9/28/2018 15:36:54.443102,3620993938.5671,0.124001037329435,0.015882
9/28/2018 15:36:54.443595,3620993939.0681,0.124493893235922,0.01624
9/28/2018 15:36:54.444096,3620993939.5691,0.124994921498001,0.016528
9/28/2018 15:36:54.444597,3620993940.0701,0.125495949760079,0.016735
9/28/2018 15:36:54.445098,3620993940.5711,0.125996978022158,0.016852
9/28/2018 15:36:54.445599,3620993941.0721,0.126498006284237,0.016872
9/28/2018 15:36:54.446101,3620993941.5731,0.126999663189054,0.016795
9/28/2018 15:36:54.446602,3620993942.0741,0.127500691451132,0.016623
9/28/2018 15:36:54.447103,3620993942.5751,0.128001719713211,0.016359
9/28/2018 15:36:54.447595,3620993943.0761,0.12849394697696,0.016009
9/28/2018 15:36:54.448096,3620993943.5771,0.128994975239038,0.015586
9/28/2018 15:36:54.448598,3620993944.0781,0.129496632143855,0.015104
9/28/2018 15:36:54.449099,3620993944.5791,0.129997660405934,0.014581
9/28/2018 15:36:54.449600,3620993945.0801,0.130498688668013,0.014039
9/28/2018 15:36:54.450101,3620993945.5811,0.130999716930091,0.013495
9/28/2018 15:36:54.450602,3620993946.0821,0.13150074519217,0.012965
9/28/2018 15:36:54.451094,3620993946.5831,0.131992972455919,0.012467
9/28/2018 15:36:54.451596,3620993947.0841,0.132494629360735,0.012019
9/28/2018 15:36:54.452097,3620993947.5851,0.132995657622814,0.011642
9/28/2018 15:36:54.452598,3620993948.0861,0.133496685884893,0.011349
9/28/2018 15:36:54.453099,3620993948.5871,0.133997714146972,0.011149
9/28/2018 15:36:54.453600,3620993949.0881,0.13449874240905,0.011052
9/28/2018 15:36:54.454101,3620993949.5891,0.134999770671129,0.011063
9/28/2018 15:36:54.454603,3620993950.0901,0.135501427575946,0.011185
9/28/2018 15:36:54.455095,3620993950.5911,0.135993654839695,0.011411
9/28/2018 15:36:54.455596,3620993951.0921,0.136494683101773,0.011727
9/28/2018 15:36:54.456097,3620993951.5931,0.136995711363852,0.01212
9/28/2018 15:36:54.456598,3620993952.0941,0.137496739625931,0.012574
9/28/2018 15:36:54.457100,3620993952.5951,0.137998396530747,0.01307
9/28/2018 15:36:54.457601,3620993953.0961,0.138499424792826,0.01359
9/28/2018 15:36:54.458102,3620993953.5971,0.139000453054905,0.014115
9/28/2018 15:36:54.458603,3620993954.0981,0.139501481316984,0.014626
9/28/2018 15:36:54.459095,3620993954.5991,0.139993708580732,0.015106
9/28/2018 15:36:54.459596,3620993955.1001,0.140494736842811,0.015537
9/28/2018 15:36:54.460098,3620993955.6011,0.140996393747628,0.015902
9/28/2018 15:36:54.460599,3620993956.1021,0.141497422009707,0.016189
9/28/2018 15:36:54.461100,3620993956.6031,0.141998450271785,0.016385
9/28/2018 15:36:54.461601,3620993957.1041,0.142499478533864,0.016486
9/28/2018 15:36:54.462102,3620993957.6051,0.143000506795943,0.016492
9/28/2018 15:36:54.462594,3620993958.1061,0.143493362702429,0.016401
9/28/2018 15:36:54.463096,3620993958.6071,0.143994390964508,0.016217
9/28/2018 15:36:54.463597,3620993959.1081,0.144495419226587,0.015942
9/28/2018 15:36:54.464098,3620993959.6091,0.144996447488666,0.015584
9/28/2018 15:36:54.464599,3620993960.1101,0.145497475750744,0.01516
9/28/2018 15:36:54.465100,3620993960.6111,0.145998504012823,0.014686
9/28/2018 15:36:54.465601,3620993961.1121,0.146499532274902,0.014184
9/28/2018 15:36:54.466102,3620993961.6131,0.147001189179719,0.013668
9/28/2018 15:36:54.466595,3620993962.1141,0.147493416443467,0.013158
9/28/2018 15:36:54.467096,3620993962.6151,0.147994444705546,0.012672
9/28/2018 15:36:54.467597,3620993963.1161,0.148495472967625,0.012229
9/28/2018 15:36:54.468098,3620993963.6171,0.148996501229703,0.011846
9/28/2018 15:36:54.468599,3620993964.1181,0.14949815813452,0.01153
9/28/2018 15:36:54.469100,3620993964.6191,0.149999186396599,0.011289
9/28/2018 15:36:54.469601,3620993965.1201,0.150500214658678,0.011129
9/28/2018 15:36:54.470102,3620993965.6211,0.151001242920756,0.01106
9/28/2018 15:36:54.470595,3620993966.1221,0.151493470184505,0.011089
9/28/2018 15:36:54.471096,3620993966.6231,0.151995127089322,0.011216
9/28/2018 15:36:54.471597,3620993967.1241,0.1524961553514,0.011436
9/28/2018 15:36:54.472098,3620993967.6251,0.152997183613479,0.011743
9/28/2018 15:36:54.472599,3620993968.1261,0.153498211875558,0.012128
9/28/2018 15:36:54.473100,3620993968.6271,0.153999240137637,0.012578
9/28/2018 15:36:54.473601,3620993969.1281,0.154500268399715,0.013075
9/28/2018 15:36:54.474102,3620993969.6291,0.155001296661794,0.0136
9/28/2018 15:36:54.474595,3620993970.1301,0.155494152568281,0.014133
9/28/2018 15:36:54.475096,3620993970.6311,0.155995180830359,0.014659
9/28/2018 15:36:54.475597,3620993971.1321,0.156496209092438,0.015161
9/28/2018 15:36:54.476098,3620993971.6331,0.156997237354517,0.01562
9/28/2018 15:36:54.476599,3620993972.1341,0.157498265616596,0.016016
9/28/2018 15:36:54.477101,3620993972.6351,0.157999922521412,0.016337
9/28/2018 15:36:54.477602,3620993973.1361,0.158500950783491,0.016573
9/28/2018 15:36:54.478094,3620993973.6371,0.15899317804724,0.016721
9/28/2018 15:36:54.478595,3620993974.1381,0.159494206309319,0.016774
9/28/2018 15:36:54.479096,3620993974.6391,0.159995234571397,0.016727
9/28/2018 15:36:54.479598,3620993975.1401,0.160496891476214,0.016577
9/28/2018 15:36:54.480099,3620993975.6411,0.160997919738293,0.016327
9/28/2018 15:36:54.480600,3620993976.1421,0.161498948000371,0.015989
9/28/2018 15:36:54.481101,3620993976.6431,0.16199997626245,0.015577
9/28/2018 15:36:54.481602,3620993977.1441,0.162501004524529,0.015105
9/28/2018 15:36:54.482095,3620993977.6451,0.162993860431016,0.014589
9/28/2018 15:36:54.482596,3620993978.1461,0.163494888693094,0.014052
9/28/2018 15:36:54.483097,3620993978.6471,0.163995916955173,0.013515
